student_id,department,semester,cgpa,tenth_pct,twelfth_pct,backlogs,projects_count,internships_count,open_source_contributions,aptitude_score,soft_skill_rating,hackathons_attended,leadership_roles,known_languages,certifications,target_role,placement_probability_label
STU_0001,ISE,6,7.54,92.91,77.47,1,3,0,0,47.01,5.56,1,0,C++|Go|Python,,Data Analyst,90.8
STU_0002,MECH,6,6.06,89.16,71.44,0,3,1,0,49.38,6.61,0,1,C++|SQL|Go,AWS,Cloud/DevOps Engineer,93.47
STU_0003,CSE,5,8.03,76.24,74.27,0,4,3,0,58.34,7.85,0,1,SQL,DBMS|AWS|Cybersecurity,Data Analyst,100.0
STU_0004,MECH,8,8.23,69.98,83.71,1,5,1,0,79.05,6.48,5,0,SQL|Python|Go,,Cloud/DevOps Engineer,100.0
STU_0005,ISE,4,5.05,58.28,78.03,0,4,2,1,73.68,6.03,3,0,C++,,Cloud/DevOps Engineer,100.0
STU_0006,CSE,6,5.77,77.65,81.06,1,3,2,0,72.84,6.12,0,0,SQL,DSA,Data Analyst,93.54
STU_0007,MECH,6,7.34,100.0,84.03,0,3,1,0,48.52,7.99,1,1,Python|Go,,Full-Stack Developer,100.0
STU_0008,CSE,6,6.85,85.48,74.63,0,4,2,0,56.88,8.34,1,1,JavaScript|Python|SQL,Azure|AWS,Full-Stack Developer,100.0
STU_0009,ISE,3,7.18,77.52,84.81,0,1,0,0,69.08,5.5,0,1,C++,,QA Specialist,71.85
STU_0010,CSE,5,6.26,85.72,81.41,0,3,0,1,55.58,5.5,0,0,Python|JavaScript|SQL,Data Science,Cloud/DevOps Engineer,89.69
STU_0011,ECE,3,8.17,69.51,66.89,0,1,0,1,60.82,7.07,3,0,SQL|Python|JavaScript,DSA|Full-Stack,Data Analyst,100.0
STU_0012,CSE,6,8.06,79.62,90.98,0,4,0,0,71.62,8.79,0,0,Java|Go,Full-Stack|DSA,Data Analyst,100.0
STU_0013,CSE,7,7.27,82.8,73.49,2,3,1,0,59.77,8.22,1,2,SQL,AWS|DSA,Cloud/DevOps Engineer,100.0
STU_0014,ECE,6,8.44,81.31,63.1,3,4,1,0,68.39,4.62,0,0,Python|SQL,,QA Specialist,84.57
STU_0015,CIVIL,7,7.71,88.33,68.59,3,2,1,0,88.89,6.1,3,0,C++|Java|Python,,QA Specialist,88.89
STU_0016,CSE,5,6.25,84.76,68.81,0,4,1,2,62.42,5.1,1,0,JavaScript|Java|Python,DSA,Cloud/DevOps Engineer,100.0
STU_0017,ECE,4,7.61,87.35,78.47,0,5,0,0,82.69,6.1,0,0,JavaScript|SQL|Java,Full-Stack|Data Science|DBMS,Data Analyst,100.0
STU_0018,CIVIL,5,6.15,76.49,75.54,1,1,0,1,73.39,8.91,1,0,Java,Azure|Full-Stack,QA Specialist,92.12
STU_0019,ISE,4,8.17,89.18,74.97,0,2,1,0,42.99,4.37,2,0,C++,,QA Specialist,92.64
STU_0020,ECE,7,7.15,95.03,83.58,1,2,1,1,48.47,4.07,0,1,JavaScript|Go,,Data Analyst,78.03
STU_0021,CIVIL,7,7.0,74.24,81.06,1,2,1,0,52.5,5.26,0,0,SQL,Full-Stack,QA Specialist,79.51
STU_0022,MECH,5,6.45,74.9,80.84,0,3,0,0,52.18,6.93,0,0,Java,DBMS|AWS|Azure,QA Specialist,100.0
STU_0023,ISE,7,8.54,92.69,81.69,5,6,0,0,63.65,7.43,3,0,C++|Java,Azure,QA Specialist,94.93
STU_0024,MECH,3,7.03,80.47,83.55,0,4,0,0,74.22,7.16,1,0,C++,Cybersecurity|Full-Stack,Full-Stack Developer,100.0
STU_0025,MECH,3,6.73,93.23,59.03,0,3,1,1,83.83,8.26,1,0,C++|Go,Data Science,Full-Stack Developer,100.0
STU_0026,ECE,4,6.81,78.46,74.72,2,2,0,0,69.62,3.86,2,0,Python|SQL,,Data Analyst,85.63
STU_0027,ECE,5,7.79,93.64,58.38,1,2,0,0,58.31,8.28,0,1,Go,AWS|Full-Stack|Cybersecurity,QA Specialist,100.0
STU_0028,CIVIL,4,7.6,83.05,78.32,0,2,1,1,33.77,6.03,0,1,Python|Java,DBMS|Full-Stack|Azure,Full-Stack Developer,100.0
STU_0029,CIVIL,6,7.65,84.07,77.96,0,4,1,1,66.06,7.6,1,0,C++,,Full-Stack Developer,100.0
STU_0030,CIVIL,7,7.67,94.52,87.41,0,2,2,0,65.39,4.51,0,0,Go|C++|JavaScript,,Full-Stack Developer,100.0
